temps1,data1,temps2,data2
29.3224137,471.1064897,27.8267067,597.6768427
25.7538028,583.5170858,27.71224607,605.4809695
20.6537162,595.1982218,26.1493011,664.8840561
27.7460847,602.3041759,27.23679607,664.1741784
24.188772,672.0015563,20.62951422,637.5323346
26.6935605,687.8263957,22.61604104,669.941033
28.2588714,617.9582013,25.11722036,712.0920336
26.4977646,664.1471707,26.07449568,723.4720632
22.3322435,678.3926326,25.9125967,731.9008643
23.0488118,699.5960526,24.29617509,741.9817952
29.2526911,538.659138,24.19596904,746.0965677
29.0179047,483.6373673,23.50223545,740.2408897
24.5918056,597.044657,26.00047711,738.503028
20.8577803,607.8454304,23.01318261,728.735369
24.5848347,677.4110069,27.41421481,687.2962147
20.2481806,634.0347598,28.03342203,632.8679388
24.4095707,691.64201,27.1421553,651.2196547
25.7681273,718.1025705,22.14980818,667.6892625
18.8779176,615.8387616,25.02757337,711.1361154
25.5341177,679.5638911,25.22082036,732.9043259
22.7727862,695.2070685,22.24254292,710.5612263
27.1142558,684.5811152,25.71807989,728.3160489
27.2560427,673.3156151,24.72380727,742.1078776
24.0362588,710.2653637,23.68298723,740.8062761
23.9773958,728.6512633,25.24849395,747.2862142
18.2425257,603.2805335,24.80683089,751.3518533
32.0835306,164.3894977,23.74450844,745.948406
20.2785634,241.9983697,26.05963128,740.1253293
24.4658823,377.5855111,25.01378651,747.8114864
22.8108484,496.4900908,27.45501664,694.0442794
24.2747854,604.6907479,27.59153491,661.8406532
23.0042232,658.5509623,26.71862873,681.7464846
26.4105586,688.6256648,24.57088479,718.1802808
26.1342736,710.4961887,28.3876252,622.4828495
24.2961751,731.4423987,26.60281414,663.8427973
24.1815695,740.9096344,30.6478095,362.3591207
29.8143867,493.6639189,26.40270201,486.429499
25.6540784,600.7315592,25.91988335,592.4020059
23.542056,664.3448681,24.32462881,667.0509672
27.6239544,645.4362657,26.84620209,680.308736
23.8582169,693.4839436,27.67881316,650.4665891
28.5878848,595.8159354,25.38033657,700.2376484
24.6127027,670.4033403,28.52426681,603.921144
23.6519796,704.495413,25.68958882,671.0313843
24.6335776,730.0669635,28.4172639,598.5621888
21.0606175,680.4823755,26.08193963,662.1033523
26.9868174,682.181171,27.66775651,641.9788559
23.3230737,706.0236673,26.56214162,675.7313916
26.9246799,697.2060012,28.55583793,590.1902043
27.8620127,648.2013502,27.53828802,610.0768933
24.6752652,700.5283967,29.8143867,441.5317495
27.5808082,665.534069,28.60409256,456.7427654
26.977879,674.8480392,27.55947161,524.9209484
21.7824934,671.64228,26.76073015,600.4406009
18.7014883,589.903114,27.51725399,616.8579065
25.2346542,666.3889422,25.31779439,681.7934802
29.9827544,445.6404234,30.25534803,418.501649
24.28905,567.5570009,27.88581448,482.2501615
24.7099475,653.4241448,27.30465034,553.2243414
25.2208204,702.7891744,26.20217224,632.2611264
24.0289256,725.3995421,27.74608474,622.3437667
25.6186767,736.8172913,24.44479293,685.2075999
29.3950311,539.1127781,25.00689323,720.3991437
22.2877539,605.6782034,22.25391526,704.8599956
25.3803366,674.8991529,25.20699212,729.817502
22.196574,681.0409624,22.95910358,723.618392
19.610099,618.6700293,23.34791062,727.1714557
22.8671689,664.1533236,22.74395735,718.2949524
26.6520894,684.9914033,24.11648649,733.9336958
23.8054076,713.9672005,28.47776312,622.493236
23.4620983,724.1491443,25.16553738,685.7788572
26.2173594,726.4828538,25,720.7082288
21.5827361,692.0588596,25.39426045,736.5886022
25.5974852,720.3555769,24.56390574,745.6718869
21.6561088,690.9616754,23.47015172,739.5760517
25.5763291,720.0120367,25.96374119,738.8263006
31.1220824,315.7710217,28.27282462,640.0858884
25.562244,454.1218572,24.57786108,695.7611634
25.0413609,575.5636947,25.49203182,723.2756579
26.4817991,639.7970515,24.96553296,739.7057765
27.4550166,641.214826,22.49320798,719.1683582
27.6899133,630.0722471,22.83912196,716.2549704
30.0187688,427.0085205,24.28904999,734.26147
27.3341634,512.5980688,23.87322743,739.3222552
30.0934946,367.6520723,25.47802923,744.9544165
25.3733783,503.6054362,21.84986108,707.1301865
25.9564148,603.8508946,22.60598797,705.821704
21.3297887,623.1186075,22.13798731,695.2243725
24.0728235,683.1043985,21.5827361,677.0494196
25.26234,718.3858444,22.72459962,692.9945723
24.8068309,737.3341653,21.94111624,684.4352306
23.5182009,736.3062669,18.0916031,579.7975082
18.6025433,616.283638,19.70119942,569.1105637
22.5036338,655.9691918,22.48274601,628.0450066
23.4459518,694.0311936,18.95746246,575.4157767
30.5387497,386.6341563,19.16980285,553.2294191
28.539994,422.7745522,20.42245213,572.0123952
29.0584253,412.1411806,19.65638218,563.6478664
20.8144003,487.118763,22.88574419,632.070317
23.5815732,591.7617945,19.5126684,591.9704474
